Science Activity Number;Science Activity Closed;Device Operation Number;Device Operation;Device Operation Closed;Device Operation Label;Device Shortname;Underway;Event Time;Event Comment;Action;Latitude;Longitude;Depth (m);Speed (kn);Course;Wind Dir;Wind Velocity;Winch;Rope Length (m)
258;t;1;M203_258-1;t;BLN;BLN;f;04.09.24 07:50;released;information;08∞ 21,487' N;032∞ 53,328' W;4540;10;264;225.0;8.8;03;0
259;t;1;M203_259-1;t;MSS;MSS;f;04.09.24 09:57;;in the water;08∞ 19,896' N;033∞ 12,735' W;4620;0;310;204.0;6.5;03;0
259;t;1;M203_259-1;t;MSS;MSS;f;04.09.24 10:24;;on deck;08∞ 19,882' N;033∞ 12,753' W;4616;1;123;227.0;4.0;03;0
260;t;1;M203_260-1;t;CTD;CTD;f;04.09.24 10:30;W3, clean ship;in the water;08∞ 19,883' N;033∞ 12,743' W;4617;0;176;236.0;3.9;03;0
260;t;1;M203_260-1;t;CTD;CTD;f;04.09.24 11:11;SLmax = 2029m;max depth/on ground;08∞ 19,880' N;033∞ 12,745' W;4616;0;102;271.0;3.0;03;2029
260;t;1;M203_260-1;t;CTD;CTD;f;04.09.24 11:51;;on deck;08∞ 19,881' N;033∞ 12,745' W;4615;0;164;240.0;3.2;03;0
261;t;1;M203_261-1;t;BLN;BLN;f;04.09.24 10:50;released;information;08∞ 19,880' N;033∞ 12,744' W;4617;0;341;318.0;3.5;03;856
262;t;1;M203_262-1;t;BLN;BLN;f;04.09.24 13:50;released;information;08∞ 18,835' N;033∞ 31,158' W;4595;10;269;244.0;2.5;03;0
263;t;1;M203_263-1;t;BLN;BLN;f;04.09.24 16:50;released;information;08∞ 16,620' N;034∞ 02,798' W;4302;11;267;211.0;4.2;03;0
264;t;1;M203_264-1;t;CTD;CTD;f;04.09.24 19:03;W3, clean ship;in the water;08∞ 14,927' N;034∞ 24,141' W;4418;0;162;187.0;5.2;03;0
264;t;1;M203_264-1;t;CTD;CTD;f;04.09.24 19:44;SLmax = 2036m;max depth/on ground;08∞ 14,922' N;034∞ 24,136' W;4423;0;11;198.0;5.6;03;2036
264;t;1;M203_264-1;t;CTD;CTD;f;04.09.24 20:22;;on deck;08∞ 14,922' N;034∞ 24,135' W;4421;0;336;206.0;5.3;03;0
265;t;1;M203_265-1;t;BLN;BLN;f;04.09.24 19:50;released;information;08∞ 14,923' N;034∞ 24,135' W;4422;0;40;197.0;5.2;03;1741
266;t;1;M203_266-1;t;MSS;MSS;f;04.09.24 20:29;;in the water;08∞ 14,877' N;034∞ 24,170' W;4422;1;240;212.0;5.2;03;0
266;t;1;M203_266-1;t;MSS;MSS;f;04.09.24 21:06;;on deck;08∞ 14,252' N;034∞ 24,807' W;4452;2;227;182.0;5.9;03;0
267;t;1;M203_267-1;t;BLN;BLN;f;04.09.24 22:47;released;information;08∞ 09,461' N;034∞ 36,820' W;4792;10;247;324.0;1.4;03;0
268;t;1;M203_268-1;t;MSS;MSS;f;05.09.24 01:36;;in the water;07∞ 59,560' N;035∞ 00,863' W;3972;2;199;134.0;4.2;03;0
268;t;1;M203_268-1;t;MSS;MSS;f;05.09.24 02:07;;on deck;07∞ 59,080' N;035∞ 00,975' W;3881;1;167;204.0;4.4;03;0
269;t;1;M203_269-1;t;BLN;BLN;f;05.09.24 01:50;released;information;07∞ 59,332' N;035∞ 00,932' W;3961;1;197;148.0;2.8;03;0
270;t;1;M203_270-1;t;CTD;CTD;f;05.09.24 02:13;W3, clean ship;in the water;07∞ 59,059' N;035∞ 00,961' W;3879;0;316;196.0;3.6;03;2
270;t;1;M203_270-1;t;CTD;CTD;f;05.09.24 02:53;SLmax = 2027m;max depth/on ground;07∞ 59,025' N;035∞ 00,933' W;3867;0;53;265.0;7.5;03;2027
270;t;1;M203_270-1;t;CTD;CTD;f;05.09.24 03:35;;on deck;07∞ 58,898' N;035∞ 00,808' W;4183;0;117;209.0;5.4;03;0
271;t;1;M203_271-1;t;CTD;CTD;f;05.09.24 04:31;W3, clean ship ;in the water;07∞ 58,832' N;035∞ 00,718' W;3898;0;311;192.0;7.0;03;2
271;t;1;M203_271-1;t;CTD;CTD;f;05.09.24 04:37;SLmax = 130m;max depth/on ground;07∞ 58,830' N;035∞ 00,714' W;3896;0;173;198.0;7.6;03;129
271;t;1;M203_271-1;t;CTD;CTD;f;05.09.24 04:48;;on deck;07∞ 58,822' N;035∞ 00,703' W;3902;0;313;196.0;6.7;03;0
272;t;1;M203_272-1;t;BLN;BLN;f;05.09.24 04:51;released;information;07∞ 58,819' N;035∞ 00,700' W;3899;0;11;188.0;7.7;03;0
273;t;1;M203_273-1;t;BLN;BLN;f;05.09.24 07:50;released;information;08∞ 00,001' N;035∞ 21,701' W;3990;10;271;166.0;3.8;03;0
274;t;1;M203_274-1;t;MSS;MSS;f;05.09.24 09:53;;in the water;07∞ 59,934' N;035∞ 40,630' W;3892;1;186;174.0;6.0;03;0
274;t;1;M203_274-1;t;MSS;MSS;f;05.09.24 10:22;;on deck;07∞ 59,613' N;035∞ 40,704' W;3895;1;260;163.0;5.8;03;0
275;t;1;M203_275-1;t;CTD;CTD;f;05.09.24 10:41;W3, clean ship;in the water;07∞ 59,594' N;035∞ 40,700' W;3895;0;281;200.0;7.0;03;7
275;t;1;M203_275-1;t;CTD;CTD;f;05.09.24 10:56;SLmax = 610m;information;07∞ 59,591' N;035∞ 40,699' W;3894;0;55;193.0;6.5;03;609
275;t;1;M203_275-1;t;CTD;CTD;f;05.09.24 11:20;;on deck;07∞ 59,510' N;035∞ 40,644' W;4169;1;159;179.0;6.3;03;0
276;t;1;M203_276-1;t;BLN;BLN;f;05.09.24 10:50;released;information;07∞ 59,590' N;035∞ 40,699' W;3887;0;92;187.0;6.7;03;214
277;t;1;M203_277-1;t;BLN;BLN;f;05.09.24 13:50;released;information;07∞ 59,277' N;035∞ 57,311' W;3494;10;277;222.0;3.7;03;0
278;t;1;M203_278-1;t;MSS;MSS;f;05.09.24 15:15;;in the water;07∞ 59,904' N;036∞ 09,961' W;3395;1;134;202.0;7.8;03;0
278;t;1;M203_278-1;t;MSS;MSS;f;05.09.24 15:49;;on deck;07∞ 59,615' N;036∞ 09,730' W;3347;1;161;173.0;5.0;03;0
279;t;1;M203_279-1;t;CTD;CTD;f;05.09.24 15:58;W3, clean ship;in the water;07∞ 59,547' N;036∞ 09,676' W;3353;0;100;214.0;1.3;03;14
279;t;1;M203_279-1;t;CTD;CTD;f;05.09.24 16:36;SLmax = 2036m;max depth/on ground;07∞ 59,317' N;036∞ 09,477' W;3400;1;151;167.0;2.9;03;2035
279;t;1;M203_279-1;t;CTD;CTD;f;05.09.24 17:12;;on deck;07∞ 59,095' N;036∞ 09,244' W;3382;1;117;164.0;3.9;03;0
280;t;1;M203_280-1;t;BLN;BLN;f;05.09.24 16:50;released;information;07∞ 59,236' N;036∞ 09,407' W;3448;1;155;166.0;4.3;03;1198
281;t;1;M203_281-1;t;BLN;BLN;f;05.09.24 19:50;released;information;08∞ 00,000' N;036∞ 25,450' W;3438;9;268;218.0;6.0;03;0
282;t;1;M203_282-1;t;BLN;BLN;f;05.09.24 22:49;released;information;08∞ 00,001' N;036∞ 54,199' W;3739;9;266;224.0;6.7;03;0
283;t;1;M203_283-1;t;BLN;BLN;f;06.09.24 01:50;released;information;08∞ 00,003' N;037∞ 24,715' W;3125;10;271;218.0;6.1;03;0
284;t;1;M203_284-1;t;BLN;BLN;f;06.09.24 04:50;released;information;08∞ 00,190' N;037∞ 53,953' W;3242;9;280;218.0;7.0;03;0
285;t;1;M203_285-1;t;MSS;MSS;f;06.09.24 05:53;;in the water;08∞ 01,507' N;037∞ 59,212' W;3872;1;16;207.0;4.8;03;0
285;t;1;M203_285-1;t;MSS;MSS;f;06.09.24 06:29;;on deck;08∞ 01,868' N;037∞ 58,842' W;3847;1;26;187.0;7.1;03;0
286;t;1;M203_286-1;t;CTD;CTD;f;06.09.24 07:30;W3, clean ship;in the water;07∞ 56,445' N;037∞ 59,990' W;3893;0;355;200.0;6.6;03;0
286;t;1;M203_286-1;t;CTD;CTD;f;06.09.24 08:08;SLmax = 2032m;max depth/on ground;07∞ 56,395' N;038∞ 00,075' W;3972;0;215;192.0;6.1;03;2031
286;t;1;M203_286-1;t;CTD;CTD;f;06.09.24 08:45;;on deck;07∞ 56,371' N;038∞ 00,120' W;4033;0;268;201.0;6.2;03;0
287;t;1;M203_287-1;t;BLN;BLN;f;06.09.24 07:50;released;information;07∞ 56,424' N;038∞ 00,024' W;3923;0;152;195.0;8.0;03;967
